127.0.0.1 - - [18/Oct/2021:08:31:44 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:02 +0900] "GET /CodePeople/test/selectForm2.html HTTP/1.1" 200 41670
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:02 +0900] "GET /CodePeople/js/testJS/SelectFilter.js HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:02 +0900] "GET /CodePeople/js/jquery.serializejson.min.js HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:02 +0900] "GET /CodePeople/logo.jpeg HTTP/1.1" 200 23512
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:02 +0900] "GET /CodePeople/js/testJS/Search.js HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:07 +0900] "GET /CodePeople/test/selectForm2.html HTTP/1.1" 200 41670
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:07 +0900] "GET /CodePeople/js/jquery.serializejson.min.js HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:07 +0900] "GET /CodePeople/js/testJS/SelectFilter.js HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:07 +0900] "GET /CodePeople/js/testJS/Search.js HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:07 +0900] "GET /CodePeople/logo.jpeg HTTP/1.1" 200 23512
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:10 +0900] "GET /CodePeople/jobGroupTest.do HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [18/Oct/2021:08:32:12 +0900] "GET /CodePeople/jobTitleTest.do?jgCodeNo=0 HTTP/1.1" 200 33
