127.0.0.1 - - [21/Jan/2022:08:40:55 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/ HTTP/1.1" 200 7420
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:01 +0900] "GET /covid/resources/bootstrap/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 304 -
